Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,13/08/2022 18:30,San Siro,Milan,Udinese,4 - 2
9,1,13/08/2022 18:30,Luigi Ferraris,Sampdoria,Atalanta,0 - 2
5,1,13/08/2022 20:45,Via del mare,Lecce,Inter,1 - 2
7,1,13/08/2022 20:45,Brianteo,Monza,Torino,1 - 2
1,1,14/08/2022 18:30,Artemio Franchi,Fiorentina,Cremonese,3 - 2
4,1,14/08/2022 18:30,Olimpico,Lazio,Bologna,2 - 1
8,1,14/08/2022 20:45,Arechi,Salernitana,Roma,0 - 1
10,1,14/08/2022 20:45,Alberto Picco,Spezia,Empoli,1 - 0
2,1,15/08/2022 18:30,Marcantonio Bentegodi,Hellas Verona,Napoli,2 - 5
3,1,15/08/2022 20:45,Juventus Stadium,Juventus,Sassuolo,3 - 0
19,2,20/08/2022 18:30,Olimpico Grande Torino,Torino,Lazio,0 - 0
20,2,20/08/2022 18:30,Friuli,Udinese,Salernitana,0 - 0
14,2,20/08/2022 20:45,San Siro,Inter,Spezia,3 - 0
18,2,20/08/2022 20:45,Città del Tricolore,Sassuolo,Lecce,1 - 0
13,2,21/08/2022 18:30,Carlo Castellani,Empoli,Fiorentina,0 - 0
15,2,21/08/2022 18:30,Diego Armando Maradona,Napoli,Monza,4 - 0
11,2,21/08/2022 20:45,Atleti Azzurri d'Italia,Atalanta,Milan,1 - 1
12,2,21/08/2022 20:45,Renato Dall'Ara,Bologna,Hellas Verona,1 - 1
16,2,22/08/2022 18:30,Olimpico,Roma,Cremonese,1 - 0
17,2,22/08/2022 20:45,Luigi Ferraris,Sampdoria,Juventus,0 - 0
28,3,26/08/2022 18:30,Brianteo,Monza,Udinese,1 - 2
25,3,26/08/2022 20:45,Olimpico,Lazio,Inter,3 - 1
21,3,27/08/2022 18:30,Giovanni Zini,Cremonese,Torino,1 - 2
24,3,27/08/2022 18:30,Juventus Stadium,Juventus,Roma,1 - 1
27,3,27/08/2022 20:45,San Siro,Milan,Bologna,2 - 0
30,3,27/08/2022 20:45,Alberto Picco,Spezia,Sassuolo,2 - 2
23,3,28/08/2022 18:30,Marcantonio Bentegodi,Hellas Verona,Atalanta,0 - 1
29,3,28/08/2022 18:30,Arechi,Salernitana,Sampdoria,4 - 0
22,3,28/08/2022 20:45,Artemio Franchi,Fiorentina,Napoli,0 - 0
26,3,28/08/2022 20:45,Via del mare,Lecce,Empoli,1 - 1
39,4,30/08/2022 18:30,Città del Tricolore,Sassuolo,Milan,0 - 0
34,4,30/08/2022 20:45,San Siro,Inter,Cremonese,3 - 1
37,4,30/08/2022 20:45,Olimpico,Roma,Monza,3 - 0
33,4,31/08/2022 18:30,Carlo Castellani,Empoli,Hellas Verona,1 - 1
38,4,31/08/2022 18:30,Luigi Ferraris,Sampdoria,Lazio,1 - 1
40,4,31/08/2022 18:30,Friuli,Udinese,Fiorentina,1 - 0
35,4,31/08/2022 20:45,Juventus Stadium,Juventus,Spezia,2 - 0
36,4,31/08/2022 20:45,Diego Armando Maradona,Napoli,Lecce,1 - 1
31,4,01/09/2022 20:45,Atleti Azzurri d'Italia,Atalanta,Torino,3 - 1
32,4,01/09/2022 20:45,Renato Dall'Ara,Bologna,Salernitana,1 - 1
42,5,03/09/2022 15:00,Artemio Franchi,Fiorentina,Juventus,1 - 1
45,5,03/09/2022 18:00,San Siro,Milan,Inter,3 - 2
44,5,03/09/2022 20:45,Olimpico,Lazio,Napoli,1 - 2
41,5,04/09/2022 12:30,Giovanni Zini,Cremonese,Sassuolo,0 - 0
48,5,04/09/2022 15:00,Alberto Picco,Spezia,Bologna,2 - 2
43,5,04/09/2022 18:00,Marcantonio Bentegodi,Hellas Verona,Sampdoria,2 - 1
50,5,04/09/2022 20:45,Friuli,Udinese,Roma,4 - 0
46,5,05/09/2022 18:30,Brianteo,Monza,Atalanta,0 - 2
47,5,05/09/2022 18:30,Arechi,Salernitana,Empoli,2 - 2
49,5,05/09/2022 20:45,Olimpico Grande Torino,Torino,Lecce,1 - 0
58,6,10/09/2022 15:00,Diego Armando Maradona,Napoli,Spezia,1 - 0
54,6,10/09/2022 18:00,San Siro,Inter,Torino,1 - 0
59,6,10/09/2022 20:45,Luigi Ferraris,Sampdoria,Milan,1 - 2
51,6,11/09/2022 12:30,Atleti Azzurri d'Italia,Atalanta,Cremonese,1 - 1
52,6,11/09/2022 15:00,Renato Dall'Ara,Bologna,Fiorentina,2 - 1
57,6,11/09/2022 15:00,Via del mare,Lecce,Monza,1 - 1
60,6,11/09/2022 15:00,Città del Tricolore,Sassuolo,Udinese,1 - 3
56,6,11/09/2022 18:00,Olimpico,Lazio,Hellas Verona,2 - 0
55,6,11/09/2022 20:45,Juventus Stadium,Juventus,Salernitana,2 - 2
53,6,12/09/2022 20:45,Carlo Castellani,Empoli,Roma,1 - 2
67,7,16/09/2022 20:45,Arechi,Salernitana,Lecce,1 - 2
61,7,17/09/2022 15:00,Renato Dall'Ara,Bologna,Empoli,0 - 1
68,7,17/09/2022 18:00,Alberto Picco,Spezia,Sampdoria,2 - 1
69,7,17/09/2022 20:45,Olimpico Grande Torino,Torino,Sassuolo,0 - 1
70,7,18/09/2022 12:30,Friuli,Udinese,Inter,3 - 1
62,7,18/09/2022 15:00,Giovanni Zini,Cremonese,Lazio,0 - 4
63,7,18/09/2022 15:00,Artemio Franchi,Fiorentina,Hellas Verona,2 - 0
65,7,18/09/2022 15:00,Brianteo,Monza,Juventus,1 - 0
66,7,18/09/2022 18:00,Olimpico,Roma,Atalanta,0 - 1
64,7,18/09/2022 20:45,San Siro,Milan,Napoli,1 - 2
78,8,01/10/2022 15:00,Diego Armando Maradona,Napoli,Torino,3 - 1
74,8,01/10/2022 18:00,San Siro,Inter,Roma,1 - 2
72,8,01/10/2022 20:45,Carlo Castellani,Empoli,Milan,1 - 3
76,8,02/10/2022 12:30,Olimpico,Lazio,Spezia,4 - 0
77,8,02/10/2022 15:00,Via del mare,Lecce,Cremonese,1 - 1
79,8,02/10/2022 15:00,Luigi Ferraris,Sampdoria,Monza,0 - 3
80,8,02/10/2022 15:00,Città del Tricolore,Sassuolo,Salernitana,5 - 0
71,8,02/10/2022 18:00,Atleti Azzurri d'Italia,Atalanta,Fiorentina,1 - 0
75,8,02/10/2022 20:45,Juventus Stadium,Juventus,Bologna,3 - 0
73,8,03/10/2022 20:45,Marcantonio Bentegodi,Hellas Verona,Udinese,1 - 2
88,9,08/10/2022 15:00,Città del Tricolore,Sassuolo,Inter,1 - 2
84,9,08/10/2022 18:00,San Siro,Milan,Juventus,2 - 0
81,9,08/10/2022 20:45,Renato Dall'Ara,Bologna,Sampdoria,1 - 1
89,9,09/10/2022 12:30,Olimpico Grande Torino,Torino,Empoli,1 - 1
85,9,09/10/2022 15:00,Brianteo,Monza,Spezia,2 - 0
87,9,09/10/2022 15:00,Arechi,Salernitana,Hellas Verona,2 - 1
90,9,09/10/2022 15:00,Friuli,Udinese,Atalanta,2 - 2
82,9,09/10/2022 18:00,Giovanni Zini,Cremonese,Napoli,1 - 4
86,9,09/10/2022 20:45,Olimpico,Roma,Lecce,2 - 1
83,9,10/10/2022 20:45,Artemio Franchi,Fiorentina,Lazio,0 - 4
92,10,15/10/2022 15:00,Carlo Castellani,Empoli,Monza,1 - 0
100,10,15/10/2022 18:00,Olimpico Grande Torino,Torino,Juventus,0 - 1
91,10,15/10/2022 20:45,Atleti Azzurri d'Italia,Atalanta,Sassuolo,2 - 1
94,10,16/10/2022 12:30,San Siro,Inter,Salernitana,2 - 0
95,10,16/10/2022 15:00,Olimpico,Lazio,Udinese,0 - 0
99,10,16/10/2022 15:00,Alberto Picco,Spezia,Cremonese,2 - 2
97,10,16/10/2022 18:00,Diego Armando Maradona,Napoli,Bologna,3 - 2
93,10,16/10/2022 20:45,Marcantonio Bentegodi,Hellas Verona,Milan,1 - 2
98,10,17/10/2022 18:30,Luigi Ferraris,Sampdoria,Roma,0 - 1
96,10,17/10/2022 20:45,Via del mare,Lecce,Fiorentina,1 - 1
105,11,21/10/2022 20:45,Juventus Stadium,Juventus,Empoli,4 - 0
108,11,22/10/2022 15:00,Arechi,Salernitana,Spezia,1 - 0
106,11,22/10/2022 18:00,San Siro,Milan,Monza,4 - 1
104,11,22/10/2022 20:45,Artemio Franchi,Fiorentina,Inter,3 - 4
110,11,23/10/2022 12:30,Friuli,Udinese,Torino,1 - 2
102,11,23/10/2022 15:00,Renato Dall'Ara,Bologna,Lecce,2 - 0
101,11,23/10/2022 18:00,Atleti Azzurri d'Italia,Atalanta,Lazio,0 - 2
107,11,23/10/2022 20:45,Olimpico,Roma,Napoli,0 - 1
103,11,24/10/2022 18:30,Giovanni Zini,Cremonese,Sampdoria,0 - 1
109,11,24/10/2022 20:45,Città del Tricolore,Sassuolo,Hellas Verona,2 - 1
118,12,29/10/2022 15:00,Diego Armando Maradona,Napoli,Sassuolo,4 - 0
116,12,29/10/2022 18:00,Via del mare,Lecce,Juventus,0 - 1
114,12,29/10/2022 20:45,San Siro,Inter,Sampdoria,3 - 0
112,12,30/10/2022 12:30,Carlo Castellani,Empoli,Atalanta,0 - 2
111,12,30/10/2022 15:00,Giovanni Zini,Cremonese,Udinese,0 - 0
119,12,30/10/2022 15:00,Alberto Picco,Spezia,Fiorentina,1 - 2
115,12,30/10/2022 18:00,Olimpico,Lazio,Salernitana,1 - 3
120,12,30/10/2022 20:45,Olimpico Grande Torino,Torino,Milan,2 - 1
113,12,31/10/2022 18:30,Marcantonio Bentegodi,Hellas Verona,Roma,1 - 3
117,12,31/10/2022 20:45,Brianteo,Monza,Bologna,1 - 2
130,13,04/11/2022 20:45,Friuli,Udinese,Lecce,1 - 1
123,13,05/11/2022 15:00,Carlo Castellani,Empoli,Sassuolo,1 - 0
128,13,05/11/2022 15:00,Arechi,Salernitana,Cremonese,2 - 2
121,13,05/11/2022 18:00,Atleti Azzurri d'Italia,Atalanta,Napoli,1 - 2
125,13,05/11/2022 20:45,San Siro,Milan,Spezia,2 - 1
122,13,06/11/2022 12:30,Renato Dall'Ara,Bologna,Torino,2 - 1
126,13,06/11/2022 15:00,Brianteo,Monza,Hellas Verona,2 - 0
